Transaction_ID,Amount,Device,Is_Fraud
b3b62399-3df5-4c83-b42f-01f03a5d0007,18.14,Tablet,0
70fd8b1f-ef2c-430e-a080-809ddf19c068,83.96,Tablet,0
00b962ee-e9ab-4ccb-9c96-132307ecb26d,6137.26,Mobile,1
0cb84537-b5bc-43b2-9dcb-3895c6386a9b,106.23,Tablet,0
739e81ac-255f-4dbe-8cc6-0a4c456fbb14,172.39,Desktop,0
eacee367-059e-400a-9c76-f9752d5cb047,233.65,Mobile,0
0145b638-fef5-4973-9a84-8c626cd2ed29,200.81,Mobile,0
aa718b81-d0b6-492d-b637-67024c76e175,149.29,Tablet,0
36743086-bb13-40c2-b64a-5197ca96bff4,27.17,Tablet,0
da307fb1-04a2-44ed-8763-9f3363ceab99,168.45,Mobile,0
4ea6f59d-75a1-4391-b34e-c6f32eccc326,55.57,Tablet,0
75f5178b-2ba5-4186-b80d-a3895654a5d5,93.26,Mobile,0
837c895b-0851-4bf8-8589-be8f1fcd261d,136.21,Desktop,0
7852f9ff-e71c-43a8-9352-4db9a5644819,430.82,Mobile,0
e9c57c57-d386-4f02-88c6-504404f37745,83.43,Tablet,0
4b25f00d-f272-4646-a0a8-9571cc9a921c,240.11,Tablet,0
e74927ae-df4e-410d-8637-eddcfe6e0802,61.2,Tablet,0
304d0e15-737c-4072-8011-731515eb5d31,115.89,Tablet,0
720acdaf-9af1-484a-839c-7828b3eb4d18,172.57,Tablet,0
8e6ddf3d-4fd0-4842-a33a-16cb6075bf6c,210.89,Tablet,0
9920b85c-35b9-45f0-9972-792f13b523d1,300.45,Desktop,0
3b3d2ad1-6ed1-4f52-afa0-906f9d2d28ea,6085.19,Mobile,1
feda7683-cd6e-4b7f-ba47-f0fb74a9db79,305.08,Mobile,0
712d39aa-e76b-425f-a78b-4b00f9a4b882,229.3,Desktop,0
adf487dc-b6a1-4aca-88ae-d3fbed85dd45,466.32,Desktop,0
860aa5ed-9e65-435d-a32d-a780643f29a5,262.95,Desktop,0
09e0e26e-8579-484e-887a-9eda3f5a49b4,152.57,Tablet,0
cab83485-df8c-4bf5-b293-44380483cc27,312.47,Tablet,0
a0db11a3-7686-40dc-8f03-f418141918b3,27.55,Mobile,0
4b038c9a-16a1-4677-b9dd-afa070c71638,481.68,Desktop,0
51495348-3ae6-4ad9-846f-a05f2ad69849,258.65,Tablet,0
0ee16308-8664-484c-8442-aea67fee374f,35.46,Tablet,0
52e986fa-7851-423d-9917-e373c71b6ab0,498.78,Tablet,0
ce81a96f-30b9-4069-ad80-f28959525455,354.09,Tablet,0
98f07285-253d-474a-a4b6-d55c4fdc9129,289.32,Tablet,0
a17b31d7-2821-4b02-8ca5-ab3d18dd6f7a,401.67,Tablet,0
7d2ea40b-6ff6-4b50-bc7a-207fdd2aad45,285.02,Tablet,0
b49e2d98-3c97-4d40-8d02-b7912cc092f7,345.45,Mobile,0
9dca9509-d098-4636-b9d1-123d6fa6768a,201.79,Desktop,0
3306772e-e276-4ee1-9ddd-54dbad05f000,344.73,Tablet,0
9fb30814-60d9-424c-aa69-010d6813ac90,469.12,Desktop,0
3c366889-7a2b-4a25-b3e5-5ad3398932b8,66.22,Desktop,0
7ab3d615-5c10-42e0-9e0a-edad8781ccd0,237.32,Tablet,0
14ca3bbe-18d3-4a13-be99-71e10225d258,361.38,Desktop,0
00dd9abd-e8b4-42a6-8fda-e8bc48b43480,52.22,Mobile,0
f0055f64-7b1b-437d-89e4-df2a924397bf,59.22,Mobile,0
fbb6a76a-7bda-477f-8664-9a0fc20078f4,420.97,Tablet,0
058fc646-224a-443a-8545-f56f3fdf6aad,226.01,Mobile,0
e518566f-cd35-4ae4-aa92-6b31b5ac0215,221.53,Desktop,0
025e1e10-151f-4684-b810-d2853cf8a675,344.73,Mobile,0
4b0d8cda-a13d-40fb-ae9a-45df4f390955,223.04,Desktop,0
1d77464d-00cb-47e6-bdde-4331d2c697de,42.74,Tablet,0
138a4e0e-1f5e-4a1b-a108-65f555ddc7c1,437.38,Desktop,0
344aec7b-3197-471c-a860-085330808e03,143.56,Mobile,0
6694376d-ba9a-4fc0-bc67-f9eb433da637,287.42,Desktop,0
f0d16432-92d9-4e29-a26f-9fbc094887f1,6773.36,Mobile,1
2c7fa959-6b95-4315-83c8-eaf13e8dfe28,119.43,Tablet,0
6c044a99-ed92-4ad9-939d-2212973b67ce,228.47,Mobile,0
4e4611aa-1bb2-4a9b-be7d-9e7ad8741502,196.58,Tablet,0
d1d1bb5b-8a53-400e-a587-f427a2fef3c1,252.1,Mobile,0
28d01a53-cc3d-4618-844d-7237f393d1d0,465.22,Mobile,0
ecc8bbda-b3e4-4dfb-9b50-2a114c39820a,7496.93,Mobile,1
e1bbe227-b2b3-45d8-99e7-9db2d5aa63f4,20.25,Tablet,0
e2c00c23-12f3-4f5a-bd37-c8e41e555d13,179.87,Mobile,0
59174aed-01a9-487b-b1d6-4741b9c0fe72,55.43,Tablet,0
1a0871ad-07cc-42bc-adde-af7bf75c56b7,236.17,Mobile,0
608eeae4-cb68-4a82-b05c-d9309fcfbd4e,355.4,Tablet,0
cd110b8d-7e2a-4f37-9de4-ab72bdd5edd2,330.99,Desktop,0
0c4d6b28-d8e2-4503-b4a3-4a3326e19569,109.37,Mobile,0
15bbad25-2257-4847-83cc-f069687caef7,107.21,Mobile,0
69c8271f-b9cd-4088-8424-6bc43dfd09e6,8090.92,Mobile,1
a235986d-a48b-498f-a54e-43489dabace9,121.03,Tablet,0
e22b56b3-ac22-441c-a558-06304c76d92a,28.52,Mobile,0
9519be4b-62ce-4bda-8033-8e6df054d769,481.55,Mobile,0
259f2a3c-eb87-4994-9fb0-817ff3622322,189.29,Tablet,0
c82adc43-f111-4047-b000-8e62928f7417,96.34,Tablet,0
e2f87c68-ed63-4179-9650-030612173cdc,81.29,Desktop,0
cc4080fb-e06f-483c-b081-f0a4ea49800b,424.67,Desktop,0
c4b6e7f9-9503-44af-bcb8-60e9b0d53681,123.46,Tablet,0
d393dea7-ea69-4d39-861d-8798e670fead,406.3,Tablet,0
f646bfac-3f99-4102-8a32-3c546a9a16a3,49.13,Desktop,0
3c59145e-b709-4e7c-838a-0765a6e85a9b,477.25,Tablet,0
f89aa157-18f8-4e70-8cce-3f57db977d75,8087.01,Mobile,1
18d1407e-cddf-44fc-941b-fff14171cf22,88.66,Tablet,0
4e6f9f3b-c9fd-4b2b-981a-6063d76168fb,5575.86,Mobile,1
81edd3f6-1f8e-4fc6-bab5-5e2b99615cfa,447.72,Tablet,0
56aa3bc3-5800-454c-8b72-661bad81cc2d,275.79,Tablet,0
af500c1b-500d-406a-b1fb-9fec81beff33,319.91,Desktop,0
59eb8d79-325a-49e1-a359-e3b65bbadb9f,285.25,Mobile,0
cc6a7421-e757-4fd3-888a-b53524230fd0,7355.07,Mobile,1
fe4a50a5-8967-43d8-9abe-ca0d1a4ee3f3,219.84,Mobile,0
9b0317f4-293b-4fba-b93a-ef6a57f5336d,51.1,Mobile,0
adb45cde-0513-4f96-8cc2-433dac85daa3,431.53,Tablet,0
17786457-0adb-40a1-a6d6-c528cc6b42c1,417.37,Desktop,0
a471e73a-3c55-4893-ac30-2bbd0b993c71,197.55,Tablet,0
c9a83106-7d8e-4252-93ec-c205fac6a96b,336.7,Desktop,0
76ceedb3-cb24-4d3f-8922-5844068c63bd,279.02,Desktop,0
1ef7d04c-6e1d-455a-a724-1ee230c37823,482.19,Mobile,0
30e8c3c4-dc88-4ad5-ad5b-2b4c72a00f8b,403.37,Desktop,0
637bc7eb-a349-44bf-bc97-1758c2aa9326,109.29,Tablet,0
c521840f-16f5-4005-b0b7-cb33cf401d95,122.87,Mobile,0
f34ee0ef-5832-4b7f-8b14-5e246262f9cd,498.19,Mobile,0
85861389-8265-44ae-b781-ff77bc10b77a,68.86,Mobile,0
33cc41f4-ddef-43a7-a3b3-cd9cfcdbc3f3,347.97,Tablet,0
4f3d3aa7-bcb6-434a-8cfd-e0b7911d4816,201.98,Tablet,0
